Titulo,Preco,TipoLivro,Avaliacao,nAvaliacao,Paginas,Idioma,Editora,Dimensao,Data,Dias
#MakeoverMonday: Improving How We Visualize and Analyze Data. One Chart at a Time,184.01,Capa Comum,4.6,90,496,Ingles,Wiley; 1ª edição (4 dezembro 2018),,04/12/2018,825
A First Course in Bayesian Statistical Methods,359.19,Capa Comum,4,35,284,Ingles,Springer; Softcover reprint of hardcover 1st ed. 2009 edição (19 novembro 2010),15.49 x 1.63 x 23.5 cm,19/11/2010,3762
A Hands-On Introduction to Data Science,326.67,Capa dura,4.9,26,424,Ingles,Cambridge University Press (2 abril 2020),19.56 x 2.54 x 25.4 cm,02/04/2020,340
A Human's Guide to Machine Intelligence: How Algorithms Are Shaping Our Lives and How We Can Stay in Control,90.56,Capa Comum,4.7,46,272,Ingles,Penguin Books; Illustrated edição (10 março 2020),13.89 x 1.75 x 21.29 cm,10/03/2020,363
A Student's Guide to Bayesian Statistics,369.77,Capa Comum,4.6,140,522,Ingles,SAGE Publications Ltd; 1ª edição (28 abril 2018),18.9 x 2.67 x 24.61 cm,28/04/2018,1045
Ada Plus Data Structures: An Object Oriented Approach,784.62,Capa Comum,3.7,7,900,Ingles,Jones & Bartlett Learning; 2ª edição (18 agosto 2006),19.56 x 3.56 x 22.86 cm,18/08/2006,5316
Advanced Analytics in Power BI with R and Python: Ingesting. Transforming. Visualizing,225.86,Capa Comum,4.4,8,391,Ingles,Apress; 1st ed. edição (13 outubro 2020),17.81 x 2.54 x 25.4 cm,13/10/2020,146
Advanced R. Second Edition,422.58,Capa Comum,4.8,85,604,Ingles,Chapman and Hall/CRC; 2ª edição (30 maio 2019),15.49 x 3.05 x 23.37 cm,30/05/2019,648
Advances in Artificial Intelligence. Computation. and Data Science: For Medicine and Life Science,1120.4,Capa dura,,,406,Ingles,Springer; 1st ed. 2021 edição (27 junho 2021),,27/06/2021,-111
Advances in Data Science and Analytics,1222.13,Capa dura,,,350,Ingles,Wiley-Scrivener; 1ª edição (2 agosto 2022),,02/08/2022,-512
Agile Data Science. 2.0: Building Full-Stack Data Analytics Applications with Spark,314.71,Capa Comum,4,26,352,Ingles,O?Reilly; new edition (13 junho 2017),17.8 x 1.86 x 23.3 cm,13/06/2017,1364
Agile Data Warehouse Design: Collaborative Dimensional Modeling. from Whiteboard to Star Schema,200,Capa Comum,4.7,105,304,Ingles,Decisionone Consulting (24 novembro 2011),20.32 x 1.88 x 25.4 cm,24/11/2011,3392
AI and Machine Learning for Coders: A Programmer's Guide to Artificial Intelligence,316.66,Capa Comum,4.8,23,300,Ingles,O?Reilly (30 novembro 2020),17.81 x 2.69 x 23.29 cm,30/11/2020,98
